sid,roomid,mid,cid,semester,years,capacity
443,7,13,19,Fall,2024,18
452,7,12,18,Fall,2022,26
455,20,4,2,Fall,2025,30
458,25,19,28,Fall,2017,16
461,17,2,17,Fall,2024,19
466,3,5,30,Spring,2018,19
470,8,14,24,Fall,2021,21
479,2,5,5,Spring,2024,21
487,25,20,8,Spring,2018,31
497,7,1,18,Fall,2018,21
502,22,15,12,Fall,2021,18
508,22,16,12,Spring,2025,69
520,25,16,33,Spring,2020,35
523,25,4,4,Spring,2024,37
527,19,7,17,V2,2024,51
542,12,14,22,Fall,2020,26
547,20,8,33,Spring,2021,24
549,19,12,31,Fall,2025,20
551,19,6,18,Fall,2017,61
553,9,8,23,Spring,2023,15
560,22,8,27,Spring,2021,35
566,13,19,15,Spring,2017,23
568,19,20,15,Fall,2017,22
569,9,15,32,Fall,2019,28
572,5,5,29,Spring,2018,27
579,25,13,6,Fall,2021,17
584,16,19,6,Fall,2024,39
592,19,11,37,V1,2021,54
595,6,14,7,Spring,2025,23
598,25,15,34,Fall,2022,40
610,18,4,17,Fall,2020,16
613,8,12,5,Spring,2017,26
622,24,14,18,Spring,2019,17
625,24,1,20,Fall,2020,17
647,25,2,6,Fall,2025,40
648,9,19,17,Fall,2017,21
658,1,2,31,Fall,2022,54
661,11,8,28,Spring,2017,20
666,3,17,10,Spring,2025,17
668,1,5,19,Spring,2022,70
671,5,1,13,Fall,2020,31
676,5,15,4,V2,2017,38
677,3,17,24,Fall,2017,22
678,1,2,30,Spring,2019,64
686,5,4,18,Fall,2022,17
687,16,15,29,Spring,2025,28
701,13,13,19,Spring,2022,18
710,19,5,27,Spring,2019,32
715,1,7,18,Spring,2018,41
716,14,6,22,Spring,2023,20
718,19,19,8,Fall,2019,58
730,9,6,25,Spring,2024,17
733,8,20,12,Fall,2024,22
749,5,6,14,V2,2021,24
752,1,16,17,Fall,2023,37
755,12,15,25,Fall,2018,29
757,19,8,10,Fall,2017,61
764,1,4,20,Spring,2021,36
766,19,15,19,Fall,2023,17
775,18,13,15,Spring,2017,30
779,22,8,5,Fall,2025,48
787,25,7,26,V2,2020,19
791,14,15,30,Fall,2020,29
799,1,2,19,Fall,2020,40
809,10,13,7,Spring,2019,27
810,1,20,21,Spring,2023,62
811,5,8,4,V1,2024,17
812,2,19,17,Spring,2024,21
824,4,8,6,Fall,2018,16
832,1,15,34,Spring,2019,41
842,22,12,4,Spring,2018,59
844,14,14,25,Spring,2020,17
846,6,2,30,Fall,2024,24
852,22,14,33,Spring,2018,44
853,19,4,13,Fall,2022,67
857,17,16,9,Fall,2020,23
862,3,13,26,Fall,2022,28
863,5,8,31,Spring,2019,24
865,5,16,37,Spring,2018,25
869,9,16,3,Spring,2023,21
874,11,1,12,Spring,2023,16
880,1,20,36,Spring,2025,29
881,12,18,24,Fall,2019,15
885,20,20,7,Spring,2020,24
890,22,20,27,Spring,2025,55
892,1,15,27,Fall,2024,46
900,22,5,34,Spring,2017,54
909,19,15,19,Spring,2021,56
914,5,12,28,Fall,2018,30
916,9,2,16,Spring,2025,27
921,21,13,22,Spring,2024,17
923,10,4,29,Spring,2018,24
925,19,16,28,Spring,2018,64
926,14,19,3,Spring,2023,18
928,22,17,25,Spring,2019,60
935,19,11,8,Spring,2019,53
944,21,8,16,Fall,2018,16
953,16,1,37,V2,2025,18
954,7,2,4,V1,2023,30
962,19,16,22,Spring,2023,22
964,19,18,9,Fall,2018,47
972,9,2,16,Spring,2022,28
973,17,2,15,Fall,2025,22
982,15,11,7,Fall,2024,16
988,1,7,9,Spring,2022,68
995,19,17,11,Fall,2020,37
998,22,5,8,Spring,2018,62
1002,20,7,16,Fall,2025,30
1003,25,11,32,Fall,2022,36
1004,10,14,31,Fall,2017,21
1005,22,11,37,Fall,2025,48
1012,8,20,35,Fall,2025,28
1019,7,8,15,Spring,2021,21
1023,3,14,13,V1,2024,25
1030,22,7,30,Spring,2019,20
1036,23,4,17,Fall,2018,28
1037,1,12,34,Spring,2017,18
1039,10,14,26,Spring,2020,19
1055,22,11,5,Spring,2021,38
1056,22,18,22,Fall,2025,35
1058,20,14,11,Fall,2017,25
1059,9,5,30,V1,2023,23
1073,10,12,9,Fall,2023,24
1074,5,12,25,Spring,2025,30
1085,5,7,3,Fall,2019,15
1088,22,6,33,Fall,2018,15
1099,19,11,37,Spring,2024,24
1117,5,6,13,Spring,2019,21
1118,20,6,11,Spring,2022,16
1137,2,16,32,Spring,2025,20
1139,3,15,8,Spring,2018,21
1143,22,7,13,Fall,2018,20
1150,22,11,34,Spring,2019,68
1159,20,14,10,Spring,2022,24
1163,13,14,13,Spring,2025,23
1171,1,8,31,Spring,2024,65
1191,25,16,7,V2,2021,30
1193,6,12,3,Spring,2024,24
1198,9,6,32,Spring,2023,26
1215,23,5,32,Spring,2025,28
1224,10,4,11,Fall,2019,25
1227,23,11,9,Fall,2022,23
1233,16,2,32,Fall,2022,34
1248,9,17,11,Fall,2023,19
1250,19,13,2,Spring,2019,20
1271,22,20,7,V2,2017,16
1276,22,13,28,Spring,2017,16
1281,20,17,2,Spring,2023,16
1289,24,5,30,Fall,2018,15
1308,16,8,6,Spring,2025,23
1314,12,17,32,Spring,2018,23
1321,16,14,25,Fall,2019,32
